Make,Model,City (kg/km/seat),Hwy (kg/km/seat),Comb (kg/km/seat),CO2 Emissions(g/km)
Acura,ILX,0.014652000000000002,0.010360000000000001,0.012727999999999998,200
Acura,MDX SH-AWD,0.018648,0.013911999999999999,0.016576,263
Acura,RDX SH-AWD,0.01628,0.012727999999999998,0.014652000000000002,232
Acura,RDX SH-AWD A-SPEC,0.016724,0.013467999999999999,0.015244000000000002,242
Acura,TLX SH-AWD,0.016576,0.01184,0.014504,230
Acura,TLX SH-AWD A-SPEC,0.016724,0.011988,0.014504,231
Acura,TLX Type S,0.018204,0.013911999999999999,0.01628,256
Acura,TLX Type S (Performance Tire),0.018204,0.014504,0.016576,261
Alfa Romeo,Giulia,0.014799999999999999,0.010656000000000002,0.012875999999999999,205
Alfa Romeo,Giulia AWD,0.015539999999999998,0.011396,0.013616,217
Alfa Romeo,Giulia Quadrifoglio,0.01998,0.013764000000000002,0.017168,271
Alfa Romeo,Stelvio,0.015244000000000002,0.011988,0.013764000000000002,218
Alfa Romeo,Stelvio AWD,0.015984,0.012284,0.014208000000000002,226
Alfa Romeo,Stelvio AWD Quadrifoglio,0.020572,0.015244000000000002,0.018204,288
Aston Martin,DB11 V8,0.01924,0.014504,0.01702,271
Aston Martin,DB11 V12,0.024271999999999995,0.015836,0.020424,324
Aston Martin,DBS V12,0.024271999999999995,0.015836,0.020424,324
Aston Martin,DBX V8,0.024864,0.017612,0.021608,343
Aston Martin,Vantage V8,0.019388,0.014208000000000002,0.01702,270
Audi,A3 Sedan 40 TFSI quattro,0.01258,0.009768,0.011248,178
Audi,A4 Sedan 40 TFSI quattro,0.013467999999999999,0.010360000000000001,0.012135999999999997,190
Audi,A4 Sedan 45 TFSI quattro,0.014504,0.011248,0.013024000000000003,205
Audi,A4 allroad 45 TFSI quattro,0.014504,0.011692,0.013172,208
Audi,A5 Cabriolet 45 TFSI quattro,0.015392,0.0111,0.013467999999999999,214
Audi,A5 Coupe 45 TFSI quattro,0.014504,0.011248,0.013024000000000003,205
Audi,A5 Sportback 45 TFSI quattro,0.014504,0.011248,0.013024000000000003,205
Audi,A6 Sedan 45 TFSI quattro,0.015095999999999998,0.010952000000000002,0.013172,208
Audi,A6 Sedan 55 TFSI quattro,0.016428,0.011544,0.014208000000000002,224
Audi,A6 allroad 55 TFSI quattro,0.01702,0.012284,0.014799999999999999,234
Audi,A7 Sportback 55 TFSI quattro,0.016428,0.011544,0.014208000000000002,224
Audi,A8 L Sedan 55 TFSI quattro,0.018648,0.012284,0.015688,248
Audi,Q3 40 TFSI quattro,0.015392,0.011396,0.013616,215
Audi,Q3 45 TFSI quattro,0.016872,0.012284,0.014799999999999999,233
Audi,Q5 40 TFSI quattro,0.015244000000000002,0.011988,0.013764000000000002,217
Audi,Q5 45 TFSI quattro,0.015244000000000002,0.012432,0.013911999999999999,220
Audi,Q5 Sportback 45 TFSI quattro,0.015244000000000002,0.012432,0.013911999999999999,220
Audi,Q7 45 TFSI quattro,0.017759999999999998,0.013911999999999999,0.015984,252
Audi,Q7 55 TFSI quattro,0.018944,0.015539999999999998,0.017315999999999998,273
Audi,Q8 55 TFSI quattro,0.018944,0.015539999999999998,0.017315999999999998,273
Audi,R8 Coupe Performance,0.024715999999999995,0.015244000000000002,0.020424,322
Audi,R8 Coupe Performance quattro,0.026491999999999998,0.017908,0.022644,356
Audi,R8 Spyder Performance,0.024715999999999995,0.015244000000000002,0.020424,322
Audi,R8 Spyder Performance quattro,0.026491999999999998,0.017908,0.022644,356
Audi,RS 5 Coupe quattro,0.01924,0.013911999999999999,0.016872,267
Audi,RS 5 Sportback quattro,0.019388,0.013911999999999999,0.016872,268
Audi,RS 6 Avant quattro,0.023828,0.015836,0.020275999999999995,319
Audi,RS 7 Sportback quattro,0.02368,0.015539999999999998,0.01998,315
Audi,RS Q8 quattro,0.026639999999999997,0.018204,0.022792,360
Audi,S3 Sedan quattro,0.014799999999999999,0.010656000000000002,0.013024000000000003,206
Audi,S4 Sedan quattro,0.016428,0.01184,0.014355999999999999,227
Audi,S5 Cabriolet quattro,0.016724,0.012432,0.014799999999999999,233
Audi,S5 Coupe quattro,0.016428,0.01184,0.014355999999999999,227
Audi,S5 Sportback quattro,0.016428,0.01184,0.014355999999999999,227
Audi,S6 Sedan quattro,0.018944,0.01258,0.016132,254
Audi,S7 Sportback quattro,0.018944,0.01258,0.016132,254
Audi,S8 Sedan quattro,0.025011999999999996,0.015095999999999998,0.020424,323
Audi,SQ5 quattro,0.0185,0.014355999999999999,0.016576,262
Audi,SQ5 Sportback quattro,0.0185,0.014355999999999999,0.016576,262
Audi,SQ7 quattro,0.02368,0.016872,0.020572,325
Audi,SQ8 quattro,0.02368,0.016872,0.020572,325
Audi,TT Coupe 45 TFSI quattro,0.015539999999999998,0.011692,0.013911999999999999,218
Audi,TT Roadster 45 TFSI quattro,0.015539999999999998,0.011692,0.013911999999999999,218
Audi,TT RS Coupe quattro,0.017315999999999998,0.011988,0.014947999999999998,235
Audi,TTS Coupe quattro,0.014799999999999999,0.011396,0.013319999999999999,209
Bentley,Bentayga,0.023384,0.014652000000000002,0.019536,309
Bentley,Bentayga Speed,0.02812,0.01924,0.024124,383
Bentley,Continental GT,0.022052,0.013319999999999999,0.018056,287
Bentley,Continental GT Speed,0.029008,0.017759999999999998,0.023976,379
Bentley,Continental GT Convertible,0.022496,0.013616,0.0185,294
Bentley,Continental GT Convertible Speed,0.030044000000000005,0.019092,0.02516,395
Bentley,Flying Spur,0.02294,0.017168,0.020275999999999995,323
Bentley,Flying Spur,0.028416000000000004,0.018056,0.02368,373
BMW,330i xDrive Sedan,0.01406,0.010212,0.012284,195
BMW,430i xDrive Cabriolet,0.014799999999999999,0.010508,0.012875999999999999,202
BMW,430i xDrive Coupe,0.014799999999999999,0.010508,0.012875999999999999,202
BMW,530i xDrive Sedan,0.014947999999999998,0.010952000000000002,0.013172,206
BMW,540i xDrive Sedan,0.015539999999999998,0.011988,0.013911999999999999,219
BMW,750i xDrive Sedan,0.020572,0.014208000000000002,0.017759999999999998,279
BMW,750Li xDrive Sedan,0.020572,0.014208000000000002,0.017759999999999998,279
BMW,Alpina B7,0.020572,0.014208000000000002,0.017759999999999998,279
BMW,Alpina B8 Gran Coupe,0.020572,0.014208000000000002,0.017759999999999998,279
BMW,Alpina XB7,0.023236,0.01702,0.020424,321
BMW,M235i xDrive Gran Coupe,0.015392,0.011544,0.013616,214
BMW,M240i xDrive Coupe,0.015392,0.0111,0.013467999999999999,212
BMW,M3 Sedan,0.021755999999999998,0.014947999999999998,0.018648,293
BMW,M3 Competition Sedan,0.02146,0.015095999999999998,0.018648,292
BMW,M3 Competition Sedan M xDrive,0.021608,0.015539999999999998,0.018796,296
BMW,M340i xDrive Sedan,0.015392,0.011396,0.013616,214
BMW,M4 Competition Cabriolet M xDrive,0.022348,0.015392,0.019092,301
BMW,M4 Coupe,0.021755999999999998,0.014947999999999998,0.018648,293
BMW,M4 Competition Coupe,0.02146,0.015095999999999998,0.018648,292
BMW,M4 Competition Coupe M xDrive,0.021608,0.015539999999999998,0.018796,296
BMW,M440i xDrive Cabriolet,0.015392,0.010952000000000002,0.013467999999999999,211
BMW,M440i xDrive Coupe,0.015392,0.011396,0.013616,214
BMW,M440i xDrive Gran Coupe,0.016132,0.01184,0.014208000000000002,224
BMW,M5 Sedan,0.023828,0.01628,0.020424,322
BMW,M5 Competition,0.023828,0.01628,0.020424,322
BMW,M5 CS,0.023828,0.01628,0.020424,322
BMW,M550i xDrive Sedan,0.01998,0.013764000000000002,0.017168,271
BMW,M760i xDrive Sedan,0.026344,0.017612,0.022348,354
BMW,M8 Cabriolet,0.023828,0.01628,0.020424,322
BMW,M8 Cabriolet Competition,0.023828,0.01628,0.020424,322
BMW,M8 Coupe,0.023828,0.01628,0.020424,322
BMW,M8 Coupe Competition,0.023828,0.01628,0.020424,322
BMW,M8 Gran Coupe,0.023828,0.01628,0.020424,322
BMW,M8 Gran Coupe Competition,0.023828,0.01628,0.020424,322
BMW,M850i xDrive Cabriolet,0.020572,0.014208000000000002,0.017759999999999998,279
BMW,M850i xDrive Coupe,0.01998,0.013764000000000002,0.017168,271
BMW,M850i xDrive Gran Coupe,0.020572,0.014208000000000002,0.017759999999999998,279
BMW,X1 xDrive28i,0.015244000000000002,0.011396,0.013467999999999999,213
BMW,X2 xDrive28i,0.014652000000000002,0.011248,0.013024000000000003,207
BMW,X2 M35i,0.014652000000000002,0.011248,0.013172,207
BMW,X3 xDrive30i,0.01628,0.01258,0.014652000000000002,230
BMW,X3 M,0.023236,0.017315999999999998,0.020572,323
BMW,X3 M Competition,0.023236,0.017315999999999998,0.020572,323
BMW,X3 M40i,0.016576,0.013467999999999999,0.015244000000000002,241
BMW,X4 xDrive30i,0.01628,0.01258,0.014652000000000002,230
BMW,X4 M,0.023236,0.017315999999999998,0.020572,323
BMW,X4 M Competition,0.023236,0.017315999999999998,0.020572,323
BMW,X4 M40i,0.016576,0.013467999999999999,0.015244000000000002,241
BMW,X5 xDrive40i,0.016724,0.013616,0.015392,241
BMW,X5 M,0.026491999999999998,0.01924,0.023236,364
BMW,X5 M Competition,0.026491999999999998,0.01924,0.023236,364
BMW,X5 M50i,0.021312000000000005,0.015688,0.018796,302
BMW,X6 xDrive40i,0.016724,0.013616,0.015392,241
BMW,X6 M,0.026491999999999998,0.01924,0.023236,364
BMW,X6 M Competition,0.026491999999999998,0.01924,0.023236,364
BMW,X6 M50i,0.021312000000000005,0.015688,0.018796,302
BMW,X7 xDrive40i,0.017908,0.014504,0.016428,256
BMW,X7 M50i,0.023236,0.01702,0.020424,321
BMW,Z4 sDrive30i,0.013911999999999999,0.010952000000000002,0.01258,199
BMW,Z4 M40i,0.015984,0.011988,0.014208000000000002,223
Bugatti,Chiron,0.039664,0.024568,0.032856,522
Bugatti,Chiron Pur Sport,0.044844,0.030931999999999998,0.038628,608
Bugatti,Chiron Super Sport,0.044844,0.030931999999999998,0.038628,608
Buick,Enclave,0.01924,0.013467999999999999,0.016576,263
Buick,Enclave AWD,0.020128,0.014208000000000002,0.017464,277
Buick,Encore,0.014355999999999999,0.010804,0.012727999999999998,201
Buick,Encore AWD,0.015095999999999998,0.011396,0.013467999999999999,214
Buick,Encore GX,0.01184,0.011248,0.011544,184
Buick,Encore GX,0.012135999999999997,0.010952000000000002,0.011692,185
Buick,Encore GX AWD,0.013319999999999999,0.012135999999999997,0.012727999999999998,201
Buick,Envision,0.014799999999999999,0.011248,0.013172,209
Buick,Envision AWD,0.015539999999999998,0.012135999999999997,0.01406,220
Cadillac,CT4,0.015095999999999998,0.010360000000000001,0.013024000000000003,206
Cadillac,CT4,0.01628,0.011248,0.01406,221
Cadillac,CT4 AWD,0.015539999999999998,0.011248,0.013616,216
Cadillac,CT4 AWD,0.016872,0.012135999999999997,0.014799999999999999,233
Cadillac,CT4-V,0.017612,0.012135999999999997,0.015095999999999998,239
Cadillac,CT4-V AWD,0.017759999999999998,0.012432,0.015392,244
Cadillac,CT4-V Blackwing,0.0222,0.014355999999999999,0.018648,297
Cadillac,CT4-V Blackwing,0.022496,0.015095999999999998,0.01924,303
Cadillac,CT5,0.015244000000000002,0.010508,0.013024000000000003,207
Cadillac,CT5,0.018352,0.012875999999999999,0.015836,252
Cadillac,CT5 AWD,0.016132,0.011544,0.01406,222
Cadillac,CT5 AWD,0.018944,0.013467999999999999,0.016428,260
Cadillac,CT5-V,0.018944,0.012875999999999999,0.01628,258
Cadillac,CT5-V AWD,0.018944,0.013467999999999999,0.016428,260
Cadillac,CT5-V Blackwing,0.026788,0.015836,0.021904000000000003,346
Cadillac,CT5-V Blackwing,0.027083999999999997,0.016872,0.022496,356
Cadillac,Escalade 4WD,0.017315999999999998,0.013319999999999999,0.015539999999999998,281
Cadillac,Escalade 4WD,0.024124,0.018796,0.021755999999999998,345
Cadillac,Escalade 4WD (No Stop-Start),0.02516,0.018796,0.022348,353
Cadillac,XT4,0.014799999999999999,0.011544,0.013319999999999999,211
Cadillac,XT4 AWD,0.016132,0.012135999999999997,0.014355999999999999,225
Cadillac,XT5,0.015984,0.012135999999999997,0.014208000000000002,225
Cadillac,XT5 AWD,0.016576,0.012875999999999999,0.014947999999999998,237
Cadillac,XT5 AWD,0.019092,0.013616,0.016576,263
Cadillac,XT6 AWD,0.016576,0.013319999999999999,0.015095999999999998,239
Cadillac,XT6 AWD,0.019388,0.01406,0.01702,269
Chevrolet,Blazer,0.015688,0.01184,0.013911999999999999,221
Chevrolet,Blazer,0.018204,0.013024000000000003,0.015836,252
Chevrolet,Blazer AWD,0.015984,0.012875999999999999,0.014652000000000002,232
Chevrolet,Blazer AWD,0.018648,0.013616,0.01628,259
Chevrolet,Camaro,0.016132,0.011544,0.01406,222
Chevrolet,Camaro,0.018648,0.01184,0.015539999999999998,239
Chevrolet,Camaro,0.018944,0.011988,0.015836,251
Chevrolet,Camaro,0.021312000000000005,0.013467999999999999,0.017759999999999998,281
Chevrolet,Camaro SS,0.021608,0.013172,0.017759999999999998,281
Chevrolet,Camaro SS,0.022052,0.014652000000000002,0.018648,296
Chevrolet,Camaro ZL1,0.027083999999999997,0.016576,0.022348,355
Chevrolet,Camaro ZL1,0.025455999999999996,0.017759999999999998,0.022052,349
Chevrolet,Colorado,0.018056,0.013911999999999999,0.016132,257
Chevrolet,Colorado,0.017464,0.011692,0.014947999999999998,270
Chevrolet,Colorado,0.019092,0.013764000000000002,0.016724,263
Chevrolet,Colorado 4WD,0.018648,0.014652000000000002,0.016872,267
Chevrolet,Colorado 4WD,0.018056,0.012432,0.015539999999999998,283
Chevrolet,Colorado 4WD,0.020720000000000002,0.014652000000000002,0.017908,283
Chevrolet,Colorado ZR2 4WD,0.019684,0.015688,0.017908,326
Chevrolet,Colorado ZR2 4WD,0.0222,0.01924,0.020867999999999998,329
Chevrolet,Corvette,0.022348,0.014208000000000002,0.018648,297
Chevrolet,Equinox,0.013172,0.011396,0.012432,198
Chevrolet,Equinox AWD,0.013911999999999999,0.01184,0.013024000000000003,208
Chevrolet,Malibu,0.012135999999999997,0.009768,0.0111,175
Chevrolet,Malibu,0.015836,0.010508,0.013467999999999999,213
Chevrolet,Silverado,0.0185,0.015688,0.017168,274
Chevrolet,Silverado,0.015095999999999998,0.0111,0.013172,240
Chevrolet,Silverado FFV,0.023976,0.018204,0.02146,341
Chevrolet,Silverado FFV,0.03182,0.02368,0.028267999999999998,321
Chevrolet,Silverado,0.022348,0.016724,0.019832,314
Chevrolet,Silverado,0.021312000000000005,0.016724,0.01924,304
Chevrolet,Silverado 4WD,0.020572,0.017759999999999998,0.019388,306
Chevrolet,Silverado 4WD Mud Terrain Tire,0.021755999999999998,0.019388,0.020720000000000002,328
Chevrolet,Silverado 4WD,0.016132,0.013467999999999999,0.014947999999999998,272
Chevrolet,Silverado 4WD (With Sport Mode),0.015539999999999998,0.013467999999999999,0.014652000000000002,265
Chevrolet,Silverado 4WD Mud Terrain Tire,0.017464,0.015244000000000002,0.016576,298
Chevrolet,Silverado 4WD FFV,0.02442,0.018944,0.021904000000000003,347
Chevrolet,Silverado 4WD FFV,0.03256,0.024271999999999995,0.028860000000000004,326
Chevrolet,Silverado 4WD Mud Terrain Tire FFV,0.025751999999999997,0.021755999999999998,0.023976,380
Chevrolet,Silverado 4WD Mud Terrain Tire FFV,0.034188,0.029008,0.03182,358
Chevrolet,Silverado 4WD,0.023088,0.017612,0.020572,327
Chevrolet,Silverado 4WD Mud Terrain Tire,0.025011999999999996,0.019684,0.022644,359
Chevrolet,Silverado 4WD,0.021755999999999998,0.017464,0.019832,314
Chevrolet,Silverado 4WD (No DFM),0.024864,0.018352,0.021904000000000003,347
Chevrolet,Silverado 4WD (With Sport Mode),0.022644,0.018204,0.020572,327
Chevrolet,Silverado 4WD (No Stop-Start),0.023828,0.018352,0.021312000000000005,339
Chevrolet,Silverado 4WD Mud Terrain Tire,0.024568,0.020720000000000002,0.022792,361
Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),0.024864,0.020572,0.02294,364
Chevrolet,Silverado 4WD Mud Terrain Tire (No DFM),0.026788,0.020424,0.023976,381
Chevrolet,Silverado 4WD,0.023236,0.017612,0.020720000000000002,329
Chevrolet,Silverado 4WD (No Stop-Start),0.024568,0.018204,0.021755999999999998,345
Chevrolet,Silverado 4WD Custom Trail Boss,0.02442,0.019536,0.0222,352
Chevrolet,Silverado 4WD Mud Terrain Tire,0.02442,0.019536,0.0222,352
Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),0.026935999999999998,0.021016,0.024271999999999995,385
Chevrolet,Silverado 4WD ZR2,0.024715999999999995,0.020867999999999998,0.02294,366
Chevrolet,Spark,0.011396,0.009176,0.010360000000000001,165
Chevrolet,Spark,0.01184,0.009176,0.010656000000000002,170
Chevrolet,Suburban,0.016576,0.012875999999999999,0.014947999999999998,272
Chevrolet,Suburban,0.023384,0.017464,0.020720000000000002,327
Chevrolet,Suburban (No Stop-Start),0.02368,0.017612,0.020867999999999998,332
Chevrolet,Suburban 4WD,0.017315999999999998,0.013319999999999999,0.015539999999999998,281
Chevrolet,Suburban 4WD,0.023532,0.018352,0.021164000000000002,336
Chevrolet,Suburban 4WD (No Stop-Start),0.02516,0.018796,0.022348,354
Chevrolet,Suburban 4WD,0.024124,0.018796,0.021755999999999998,345
Chevrolet,Suburban 4WD (No Stop-Start),0.02516,0.018796,0.022348,353
Chevrolet,Tahoe,0.01628,0.012432,0.014504,263
Chevrolet,Tahoe,0.023384,0.017464,0.020720000000000002,327
Chevrolet,Tahoe (No Stop-Start),0.02368,0.017612,0.020867999999999998,332
Chevrolet,Tahoe 4WD,0.017315999999999998,0.013319999999999999,0.015539999999999998,281
Chevrolet,Tahoe 4WD,0.023384,0.017464,0.020720000000000002,327
Chevrolet,Tahoe 4WD (No Stop-Start),0.02516,0.018796,0.022348,354
Chevrolet,Tahoe 4WD,0.024124,0.018796,0.021755999999999998,345
Chevrolet,Tahoe 4WD (No Stop-Start),0.02516,0.018796,0.022348,353
Chevrolet,Trailblazer,0.01184,0.011248,0.011544,184
Chevrolet,Trailblazer,0.01184,0.010656000000000002,0.011248,178
Chevrolet,Trailblazer AWD,0.013172,0.011544,0.012432,197
Chevrolet,Traverse,0.01924,0.013024000000000003,0.016428,260
Chevrolet,Traverse AWD,0.020128,0.014208000000000002,0.017464,277
Chevrolet,Trax,0.014355999999999999,0.010804,0.012727999999999998,201
Chevrolet,Trax AWD,0.015095999999999998,0.011396,0.013467999999999999,214
Chrysler,300,0.018352,0.011544,0.015244000000000002,242
Chrysler,300,0.021755999999999998,0.013911999999999999,0.018204,289
Chrysler,300 AWD,0.018944,0.012875999999999999,0.01628,258
Chrysler,Grand Caravan,0.018352,0.012432,0.015688,249
Chrysler,Pacifica,0.018352,0.012432,0.015688,249
Chrysler,Pacifica AWD,0.020867999999999998,0.013911999999999999,0.017759999999999998,279
Dodge,Challenger,0.018352,0.011544,0.015244000000000002,242
Dodge,Challenger (MDS),0.021755999999999998,0.013911999999999999,0.018204,289
Dodge,Challenger,0.023088,0.014947999999999998,0.019388,307
Dodge,Challenger (MDS),0.023384,0.014208000000000002,0.01924,305
Dodge,Challenger,0.024715999999999995,0.015392,0.020572,325
Dodge,Challenger AWD,0.018944,0.012875999999999999,0.01628,258
Dodge,Challenger Widebody (MDS),0.023384,0.014208000000000002,0.01924,305
Dodge,Challenger Widebody,0.024715999999999995,0.015392,0.020572,325
Dodge,Challenger SRT Hellcat,0.026048000000000005,0.015836,0.02146,339
Dodge,Challenger SRT Hellcat,0.026788,0.016872,0.022348,352
Dodge,Challenger SRT Hellcat Widebody,0.027528000000000004,0.016724,0.022644,359
Dodge,Challenger SRT Hellcat Widebody,0.026788,0.016872,0.022348,352
Dodge,Charger,0.018352,0.011544,0.015244000000000002,242
Dodge,Charger (MDS),0.021755999999999998,0.013911999999999999,0.018204,289
Dodge,Charger (MDS),0.023384,0.014208000000000002,0.01924,305
Dodge,Charger AWD,0.018944,0.012875999999999999,0.01628,258
Dodge,Charger Widebody (MDS),0.023384,0.014208000000000002,0.01924,305
Dodge,Charger SRT Hellcat Widebody,0.02812,0.01702,0.023088,368
Dodge,Durango AWD,0.018796,0.014208000000000002,0.016724,265
Dodge,Durango AWD,0.024715999999999995,0.016132,0.020867999999999998,331
Dodge,Durango AWD SRT,0.027083999999999997,0.018056,0.023088,363
FIAT,500X AWD,0.014799999999999999,0.011692,0.013467999999999999,221
Ford,Bronco 4WD,0.017908,0.016576,0.017315999999999998,275
Ford,Bronco 4WD,0.017908,0.016872,0.017464,277
Ford,Bronco 4WD,0.018944,0.017612,0.018352,291
Ford,Bronco Badlands 4WD,0.01998,0.020720000000000002,0.020275999999999995,323
Ford,Bronco Badlands 4WD,0.022052,0.01998,0.021164000000000002,336
Ford,Bronco Badlands 4WD,0.020867999999999998,0.020867999999999998,0.020867999999999998,331
Ford,Bronco Black Diamond 4WD,0.019388,0.019388,0.019388,308
Ford,Bronco Black Diamond 4WD,0.020424,0.018352,0.019536,310
Ford,Bronco Sasquatch 4WD,0.019388,0.020424,0.019832,314
Ford,Bronco Sasquatch 4WD,0.020424,0.019388,0.01998,317
Ford,Bronco Sasquatch 4WD,0.020867999999999998,0.020867999999999998,0.020867999999999998,331
Ford,Bronco Sport 4WD,0.013764000000000002,0.012432,0.013172,209
Ford,Bronco Sport 4WD,0.016428,0.013319999999999999,0.015095999999999998,240
Ford,EcoSport AWD,0.015392,0.01184,0.013764000000000002,219
Ford,Edge AWD,0.01702,0.012432,0.014947999999999998,238
Ford,Edge AWD,0.017168,0.01258,0.015095999999999998,239
Ford,Edge AWD,0.018648,0.013764000000000002,0.016576,262
Ford,Escape,0.01258,0.010064,0.011544,182
Ford,Escape AWD,0.013319999999999999,0.011248,0.012432,198
Ford,Escape AWD,0.015539999999999998,0.0111,0.013616,216
Ford,Escape Hybrid,0.007992,0.009324,0.008584,136
Ford,Escape Hybrid AWD,0.00814,0.009472,0.008732,139
Ford,Expedition 4X4,0.021904000000000003,0.015688,0.019092,304
Ford,Expedition 4X4 (Without Stop-Start),0.022792,0.016576,0.01998,317
Ford,Expedition Timberline 4X4,0.02146,0.018204,0.01998,317
Ford,Expedition Timberline 4X4 (Without Stop-Start),0.022496,0.018204,0.020572,326
Ford,Explorer AWD,0.017315999999999998,0.012727999999999998,0.015244000000000002,242
Ford,Explorer AWD (Without Stop-Start),0.017759999999999998,0.013319999999999999,0.015836,252
Ford,Explorer Timberline AWD,0.018056,0.015539999999999998,0.01702,269
Ford,Explorer Timberline AWD (Without Stop-Start),0.0185,0.01628,0.017464,277
Ford,Explorer AWD,0.019832,0.014504,0.017464,277
Ford,Explorer Hybrid AWD,0.014947999999999998,0.013319999999999999,0.014208000000000002,225
Ford,F-150,0.017908,0.013911999999999999,0.016132,256
